Genes,Transcription-Direction,Left-End-Position,Right-End-Position,,,,,,,,,
yciV,+,1321244,1322125,,,,,,,,,
yciO,+,1322122,1322742,,,,,,,,,
yciQ,+,1322770,1324665,,,,,,,,,
rluB,+,1324876,1325751,,,,,,,,,
btuR,-,1325791,1326381,,,,,,,,,
yciK,-,1326378,1327136,,,,,,,,,
sohB,+,1327356,1328405,,,,,,,,,
yciN,-,1328441,1328692,,,,,,,,,
topA,+,1329072,1331669,,,,,,,,,
cysB,+,1331879,1332853,,,,,,,,,
ymiA,+,1333184,1333312,,,,,,,,,
yciX,+,1333315,1333482,,,,,,,,,
acnA,+,1333855,1336530,,,,,,,,,
ribA,-,1336594,1337184,,,,,,,,,
pgpB,+,1337354,1338118,,,,,,,,,
lapA,+,1338267,1338575,,,,,,,,,
lapB,+,1338582,1339751,,,,,,,,,
pyrF,+,1339945,1340682,,,,,,,,,
yciH,+,1340682,1341008,,,,,,,,,
osmB,-,1341134,1341352,,,,,,,,,
yciT,-,1341621,1342370,,,,,,,,,
yciZ,-,1342460,1342633,,,,,,,,,
gmr,-,1342781,1344766,,,,,,,,,
rnb,-,1345002,1346936,,,,,,,,,
yciW,-,1347004,1348131,,,,,,,,,
fabI,-,1348275,1349063,,,,,,,,,
ycjD,-,1349431,1349784,,,,,,,,,
sapF,-,1349852,1350658,,,,,,,,,
sapD,-,1350660,1351652,,,,,,,,,
sapC,-,1351652,1352542,,,,,,,,,
sapB,-,1352529,1353494,,,,,,,,,
sapA,-,1353491,1355134,,,,,,,,,
ymjA,-,1355447,1355692,,,,,,,,,
puuP,-,1355826,1357211,,,,,,,,,
puuA,-,1357514,1358932,,,,,,,,,
puuD,+,1359144,1359908,,,,,,,,,
puuR,+,1359935,1360492,,,,,,,,,
puuC,+,1360767,1362254,,,,,,,,,
puuB,+,1362256,1363536,,,,,,,,,
puuE,+,1363574,1364839,,,,,,,,,
pspF,-,1364959,1365936,,,,,,,,,
pspA,+,1366103,1366771,,,,,,,,,
pspB,+,1366825,1367049,,,,,,,,,
pspC,+,1367049,1367408,,,,,,,,,
pspD,+,1367417,1367638,,,,,,,,,
pspE,+,1367713,1368027,,,,,,,,,
ycjM,+,1368240,1369919,,,,,,,,,
ycjN,+,1369933,1371225,,,,,,,,,
ycjO,+,1371246,1372127,,,,,,,,,
ycjP,+,1372114,1372956,,,,,,,,,
ycjQ,+,1372987,1374039,,,,,,,,,
ycjR,+,1374058,1374846,,,,,,,,,
ycjS,+,1374856,1375911,,,,,,,,,
ycjT,+,1375908,1378175,,,,,,,,,
ycjU,+,1378172,1378831,,,,,,,,,
ycjV,+,1378845,1379813,,,,,,,,,
ymjB,+,1379813,1379926,,,,,,,,,
ompG,+,1379971,1380876,,,,,,,,,
ycjW,-,1380987,1381985,,,,,,,,,
ycjX,+,1382141,1383538,,,,,,,,,
ycjF,+,1383535,1384596,,,,,,,,,
tyrR,+,1384744,1386285,,,,,,,,,
tpx,-,1386329,1386835,,,,,,,,,
ycjG,+,1386954,1387919,,,,,,,,,
mpaA,-,1387894,1388622,,,,,,,,,
ymjC,-,1388704,1388886,,,,,,,,,
ymjD,-,1388892,1388957,,,,,,,,,
ycjY,-,1388957,1389889,,,,,,,,,
pgrR,+,1390015,1390914,,,,,,,,,
mppA,+,1391251,1392864,,,,,,,,,
ynaI,-,1392915,1393946,,,,,,,,,
insH-4,+,1394100,1395116,,,,,,,,,
ynaJ,+,1395389,1395646,,,,,,,,,
uspE,-,1395696,1396646,,,,,,,,,
fnr,-,1396798,1397550,,,,,,,,,
ogt,-,1397745,1398260,,,,,,,,,
abgT,-,1398271,1399797,,,,,,,,,
abgB,-,1399834,1401279,,,,,,,,,
abgA,-,1401279,1402589,,,,,,,,,
abgR,+,1402765,1403673,,,,,,,,,
mcaS,-,1403683,1403775,,,,,,,,,
smrA,+,1404003,1404566,,,,,,,,,
ydaM,-,1404587,1405819,,,,,,,,,
ydaN,+,1406074,1407057,,,,,,,,,
fnrS,+,1407153,1407271,,,,,,,,,
C0343,+,1407387,1407461,,,,,,,,,
dbpA,+,1407535,1408908,,,,,,,,,
ttcA,-,1409037,1409972,,,,,,,,,
intR,-,1410024,1411259,,,,,,,,,
ydaQ,-,1411261,1411476,,,,,,,,,
ydaC,-,1411555,1411764,,,,,,,,,
ralA,+,1411580,1411758,,,,,,,,,
ralR,-,1411757,1411951,,,,,,,,,
recT,-,1412008,1412817,,,,,,,,,
recE,-,1412810,1415410,,,,,,,,,
racC,-,1415512,1415787,,,,,,,,,
ydaE,-,1415862,1416032,,,,,,,,,
kilR,-,1416032,1416253,,,,,,,,,
sieB,+,1416695,1417183,,,,,,,,,
ydaF,-,1417180,1417335,,,,,,,,,
ydaG,-,1417346,1417480,,,,,,,,,
racR,-,1417789,1418265,,,,,,,,,
ydaS,+,1418389,1418685,,,,,,,,,
ydaT,+,1418708,1419130,,,,,,,,,
ydaU,+,1419143,1420000,,,,,,,,,
ydaV,+,1420007,1420753,,,,,,,,,
ydaW,+,1420776,1421336,,,,,,,,,
rzpR,+,1421369,1421668,,,,,,,,,
rzoR,+,1421424,1421609,,,,,,,,,
trkG,+,1421806,1423263,,,,,,,,,
ynaK,+,1423401,1423664,,,,,,,,,
ydaY,+,1423645,1424004,,,,,,,,,
ynaA,+,1424478,1425506,,,,,,,,,
lomR_1,+,1425482,1425637,,,,,,,,,
insH-5,-,1425770,1426750,,,,,,,,,
lomR_2,+,1426838,1427008,,,,,,,,,
stfR,+,1427073,1430435,,,,,,,,,
tfaR,+,1430435,1431010,,,,,,,,,
pinR,-,1431108,1431698,,,,,,,,,
ynaE,-,1432015,1432248,,,,,,,,,
uspF,-,1433209,1433643,,,,,,,,,
ompN,-,1433784,1434917,,,,,,,,,
micC,+,1435145,1435253,,,,,,,,,
ydbK,-,1435284,1438808,,,,,,,,,
ydbJ,+,1439082,1439348,,,,,,,,,
hslJ,-,1439345,1439767,,,,,,,,,
ldhA,-,1439878,1440867,,,,,,,,,
ydbH,+,1441075,1443714,,,,,,,,,
ynbE,+,1443711,1443896,,,,,,,,,
ydbL,+,1443904,1444230,,,,,,,,,
feaR,-,1444402,1445307,,,,,,,,,
feaB,+,1445543,1447042,,,,,,,,,
tynA,-,1447100,1449373,,,,,,,,,
paaZ,-,1449621,1451666,,,,,,,,,
paaA,+,1451951,1452880,,,,,,,,,
paaB,+,1452892,1453179,,,,,,,,,
paaC,+,1453188,1453934,,,,,,,,,
paaD,+,1453949,1454446,,,,,,,,,
paaE,+,1454454,1455524,,,,,,,,,
paaF,+,1455521,1456288,,,,,,,,,
paaG,+,1456288,1457076,,,,,,,,,
paaH,+,1457078,1458505,,,,,,,,,
paaI,+,1458495,1458917,,,,,,,,,
paaJ,+,1458917,1460122,,,,,,,,,
paaK,+,1460149,1461462,,,,,,,,,
paaX,+,1461563,1462513,,,,,,,,,
paaY,+,1462495,1463085,,,,,,,,,
ynbG,-,1463189,1463254,,,,,,,,,
insD-2,-,1465945,1466850,,,,,,,,,
insCD-2,-,1465945,1467218,,,,,,,,,
insC-2,-,1466808,1467218,,,,,,,,,
insI-2,+,1467382,1468533,,,,,,,,,
ydbC,+,1472245,1473105,,,,,,,,,
ydbD,+,1473168,1475474,,,,,,,,,
ynbA,+,1475645,1476250,,,,,,,,,
ynbB,+,1476250,1477146,,,,,,,,,
ynbC,+,1477162,1478919,,,,,,,,,
ynbD,+,1478933,1480225,,,,,,,,,
azoR,-,1480279,1480884,,,,,,,,,
hrpA,+,1481142,1484987,,,,,,,,,
ydcF,+,1485259,1486059,,,,,,,,,
aldA,+,1486256,1487695,,,,,,,,,
cybB,+,1488926,1489456,,,,,,,,,
rydC,-,1489467,1489530,,,,,,,,,
ydcA,+,1489701,1489874,,,,,,,,,
hokB,-,1489946,1490095,,,,,,,,,
mokB,-,1489986,1490153,,,,,,,,,
sokB,+,1490143,1490198,,,,,,,,,
trg,+,1490494,1492134,,,,,,,,,
ydcI,-,1492172,1493095,,,,,,,,,
ydcJ,+,1493312,1494655,,,,,,,,,
opgD,+,1494880,1496535,,,,,,,,,
ydcH,+,1496675,1496899,,,,,,,,,
rimL,+,1496962,1497501,,,,,,,,,
ydcK,-,1497493,1498473,,,,,,,,,
tehA,+,1498597,1499589,,,,,,,,,
tehB,+,1499586,1500179,,,,,,,,,
ydcL,+,1500481,1501149,,,,,,,,,
ydcM,+,1501681,1502889,,,,,,,,,
ydcO,-,1502929,1504104,,,,,,,,,
sutR,+,1504196,1504732,,,,,,,,,
ydcP,+,1504805,1506766,,,,,,,,,
yncJ,-,1506858,1507088,,,,,,,,,
hicA,+,1507310,1507486,,,,,,,,,
hicB,+,1507511,1507948,,,,,,,,,
ydcR,+,1508027,1509433,,,,,,,,,
ydcS,+,1509678,1510823,,,,,,,,,
ydcT,+,1510841,1511854,,,,,,,,,
ydcU,+,1511855,1512796,,,,,,,,,
ydcV,+,1512786,1513580,,,,,,,,,
patD,+,1513602,1515026,,,,,,,,,
yncL,-,1515123,1515218,,,,,,,,,
ortT,+,1515413,1515586,,,,,,,,,
ydcY,+,1515672,1515905,,,,,,,,,
ydcZ,-,1515906,1516355,,,,,,,,,
mnaT,-,1516352,1516870,,,,,,,,,
curA,+,1517051,1518088,,,,,,,,,
mcbR,+,1518286,1518951,,,,,,,,,
yncD,-,1518987,1521089,,,,,,,,,
yncE,+,1521331,1522392,,,,,,,,,
ansP,-,1522505,1524004,,,,,,,,,
yncG,+,1524271,1524888,,,,,,,,,
yncH,+,1524964,1525176,,,,,,,,,
ydcD,+,1527946,1528428,,,,,,,,,
yncI,+,1528610,1529356,,,,,,,,,
yncM,+,1529400,1529600,,,,,,,,,
ydcC,+,1529840,1530976,,,,,,,,,
pptA,+,1531076,1531309,,,,,,,,,
yddH,-,1531306,1531875,,,,,,,,,
nhoA,+,1532048,1532893,,,,,,,,,
yddE,-,1532989,1533882,,,,,,,,,
narV,-,1533961,1534641,,,,,,,,,
narW,-,1534638,1535333,,,,,,,,,
narY,-,1535333,1536877,,,,,,,,,
narZ,-,1536874,1540614,,,,,,,,,
narU,-,1540696,1542084,,,,,,,,,
yddJ,-,1542408,1542743,,,,,,,,,
yddK,-,1542782,1543738,,,,,,,,,
yddL,-,1543762,1544052,,,,,,,,,
yddG,-,1544312,1545193,,,,,,,,,
fdnG,+,1545425,1548472,,,,,,,,,
fdnH,+,1548485,1549369,,,,,,,,,
fdnI,+,1549362,1550015,,,,,,,,,
C0362,+,1550025,1550410,,,,,,,,,
yddM,-,1550422,1550784,,,,,,,,,
adhP,-,1550852,1551862,,,,,,,,,
maeA,-,1551996,1553693,,,,,,,,,
sra,-,1553850,1553987,,,,,,,,,
bdm,-,1554089,1554304,,,,,,,,,
osmC,+,1554649,1555080,,,,,,,,,
ddpF,-,1555136,1556062,,,,,,,,,
ddpD,-,1556055,1557041,,,,,,,,,
ddpC,-,1557038,1557934,,,,,,,,,
ddpB,-,1557931,1558953,,,,,,,,,
ddpA,-,1558955,1560505,,,,,,,,,
ddpX,-,1560519,1561100,,,,,,,,,
dosP,-,1561358,1563757,,,,,,,,,
dosC,-,1563782,1565164,,,,,,,,,
yddW,-,1565528,1566847,,,,,,,,,
gadC,-,1566978,1568513,,,,,,,,,
gadB,-,1568669,1570069,,,,,,,,,
pqqL,-,1570431,1573226,,,,,,,,,
yddB,-,1573271,1575643,,,,,,,,,
yddA,-,1575681,1577366,,,,,,,,,
ydeM,-,1577657,1578814,,,,,,,,,
ydeN,-,1578866,1580548,,,,,,,,,
ydeO,-,1580950,1581711,,,,,,,,,
safA,-,1581786,1581983,,,,,,,,,
ydeP,-,1582231,1584510,,,,,,,,,
ydeQ,-,1584844,1585758,,,,,,,,,
ydeR,-,1585817,1586320,,,,,,,,,
ydeS,-,1586333,1586863,,,,,,,,,
ydeT,-,1586877,1588025,,,,,,,,,
yneL,-,1588381,1588560,,,,,,,,,
hipA,-,1588878,1590200,,,,,,,,,
hipB,-,1590200,1590466,,,,,,,,,
ydeU,-,1590689,1592089,,,,,,,,,
ydeK,-,1592133,1596110,,,,,,,,,
lsrK,-,1596641,1598233,,,,,,,,,
lsrR,-,1598312,1599265,,,,,,,,,
lsrA,+,1599514,1601049,,,,,,,,,
lsrC,+,1601043,1602071,,,,,,,,,
lsrD,+,1602071,1603063,,,,,,,,,
lsrB,+,1603075,1604097,,,,,,,,,
lsrF,+,1604124,1604999,,,,,,,,,
lsrG,+,1605023,1605313,,,,,,,,,
tam,+,1605370,1606128,,,,,,,,,
yneE,-,1606132,1607046,,,,,,,,,
uxaB,-,1607253,1608704,,,,,,,,,
yneF,-,1608931,1609878,,,,,,,,,
yneG,-,1609990,1610349,,,,,,,,,
yneH,-,1610349,1611275,,,,,,,,,
sad,-,1611339,1612727,,,,,,,,,
yneJ,+,1612828,1613709,,,,,,,,,
yneK,+,1613787,1614902,,,,,,,,,
ydeA,+,1615052,1616242,,,,,,,,,
marC,-,1616267,1616932,,,,,,,,,
marR,+,1617144,1617578,,,,,,,,,
marA,+,1617598,1617981,,,,,,,,,
marB,+,1618013,1618231,,,,,,,,,
eamA,-,1618262,1619161,,,,,,,,,
ydeE,+,1619356,1620543,,,,,,,,,
yneM,+,1620670,1620765,,,,,,,,,
mgrR,-,1620841,1620938,,,,,,,,,
dgcZ,-,1620984,1621874,,,,,,,,,
ydeI,-,1622129,1622521,,,,,,,,,
ydeJ,+,1622797,1623315,,,,,,,,,
dcp,-,1623359,1625404,,,,,,,,,
ydfG,+,1625541,1626287,,,,,,,,,
ydfH,+,1626376,1627062,,,,,,,,,
ydfZ,+,1627239,1627442,,,,,,,,,
ydfI,-,1627477,1628937,,,,,,,,,
ydfJ,-,1629026,1630309,,,,,,,,,
ydfK,+,1631096,1631329,,,,,,,,,
pinQ,+,1631646,1632236,,,,,,,,,
tfaQ,-,1632334,1632909,,,,,,,,,
ydfN,-,1632909,1633871,,,,,,,,,
nohA,-,1633822,1634391,,,,,,,,,
ynfO,+,1634780,1635013,,,,,,,,,
ydfO,+,1635071,1635481,,,,,,,,,
gnsB,-,1635633,1635806,,,,,,,,,
ynfN,-,1635978,1636133,,,,,,,,,
cspI,-,1636479,1636691,,,,,,,,,
ydfP,-,1637054,1637551,,,,,,,,,
rrrQ,-,1637548,1638081,,,,,,,,,
ydfR,-,1638078,1638389,,,,,,,,,
essQ,-,1638394,1638609,,,,,,,,,
cspB,-,1639363,1639578,,,,,,,,,
cspF,+,1639879,1640091,,,,,,,,,
ydfT,-,1640513,1641265,,,,,,,,,
ydfU,-,1641279,1642328,,,,,,,,,
rem,-,1642675,1642926,,,,,,,,,
hokD,-,1643143,1643298,,,,,,,,,
relE,-,1643370,1643657,,,,,,,,,
relB,-,1643657,1643896,,,,,,,,,
ydfV,+,1643921,1644226,,,,,,,,,
flxA,+,1644429,1644761,,,,,,,,,
ydfW,-,1645198,1645347,,,,,,,,,
ydfX,-,1645370,1645660,,,,,,,,,
dicC,-,1645644,1645874,,,,,,,,,
dicA,+,1645958,1646365,,,,,,,,,
ydfA,+,1646532,1646687,,,,,,,,,
ydfB,+,1646689,1646817,,,,,,,,,
ydfC,+,1646847,1647065,,,,,,,,,
dicF,+,1647406,1647458,,,,,,,,,
dicB,+,1647633,1647821,,,,,,,,,
ydfD,+,1647818,1648009,,,,,,,,,
ydfE,+,1648102,1649022,,,,,,,,,
insD,+,1648905,1649561,,,,,,,,,
intQ,+,1649536,1650732,,,,,,,,,
rspB,-,1650920,1651939,,,,,,,,,
rspA,-,1651951,1653165,,,,,,,,,
ynfA,-,1653371,1653697,,,,,,,,,
ynfB,+,1653832,1654173,,,,,,,,,
speG,+,1654208,1654768,,,,,,,,,
ynfC,-,1654771,1655481,,,,,,,,,
ynfD,+,1655589,1655894,,,,,,,,,
ynfE,+,1656093,1658519,,,,,,,,,
ynfF,+,1658580,1661003,,,,,,,,,
ynfG,+,1661014,1661631,,,,,,,,,
ynfH,+,1661633,1662487,,,,,,,,,
dmsD,+,1662530,1663144,,,,,,,,,
clcB,+,1663339,1664595,,,,,,,,,
ynfK,-,1664548,1665243,,,,,,,,,
mlc,-,1665368,1666588,,,,,,,,,
ynfL,-,1666723,1667616,,,,,,,,,
ynfM,+,1667723,1668976,,,,,,,,,
G0-10698,-,1668973,1669160,,,,,,,,,
asr,+,1669400,1669708,,,,,,,,,
ydgU,+,1669801,1669884,,,,,,,,,
ydgD,+,1669984,1670805,,,,,,,,,
mdtI,-,1670844,1671173,,,,,,,,,
mdtJ,-,1671160,1671525,,,,,,,,,
tqsA,+,1671937,1672971,,,,,,,,,
pntB,-,1672996,1674384,,,,,,,,,
pntA,-,1674395,1675927,,,,,,,,,
ydgH,+,1676451,1677395,,,,,,,,,
ydgI,+,1677581,1678963,,,,,,,,,
folM,+,1679000,1679722,,,,,,,,,
ydgC,-,1679719,1680054,,,,,,,,,
rstA,+,1680174,1680902,,,,,,,,,
rstB,+,1680906,1682207,,,,,,,,,
tus,+,1682283,1683212,,,,,,,,,
fumC,-,1683209,1684612,,,,,,,,,
fumA,-,1684755,1686401,,,,,,,,,
manA,+,1686600,1687775,,,,,,,,,
ydgA,+,1687876,1689384,,,,,,,,,
uidC,-,1689610,1690875,,,,,,,,,
uidB,-,1690914,1692287,,,,,,,,,
uidA,-,1692284,1694095,,,,,,,,,
uidR,-,1694486,1695076,,,,,,,,,
hdhA,-,1695297,1696064,,,,,,,,,
malI,-,1696176,1697204,,,,,,,,,
malX,+,1697379,1698971,,,,,,,,,
malY,+,1698981,1700153,,,,,,,,,
add,+,1700257,1701258,,,,,,,,,
ydgJ,-,1701292,1702332,,,,,,,,,
blr,+,1702575,1702700,,,,,,,,,
cnu,+,1702973,1703188,,,,,,,,,
ydgK,+,1703274,1703714,,,,,,,,,
rsxA,+,1703791,1704372,,,,,,,,,
rsxB,+,1704372,1704950,,,,,,,,,
rsxC,+,1704943,1707165,,,,,,,,,
rsxD,+,1707166,1708224,,,,,,,,,
rsxG,+,1708228,1708848,,,,,,,,,
rsxE,+,1708852,1709547,,,,,,,,,
nth,+,1709547,1710182,,,,,,,,,
dtpA,+,1710793,1712295,,,,,,,,,
gstA,+,1712401,1713006,,,,,,,,,
pdxY,-,1713050,1713913,,,,,,,,,
tyrS,-,1713972,1715246,,,,,,,,,
pdxH,-,1715375,1716031,,,,,,,,,
mliC,-,1716090,1716419,,,,,,,,,
anmK,-,1716517,1717626,,,,,,,,,
slyB,+,1717900,1718367,,,,,,,,,
slyA,-,1718414,1718848,,,,,,,,,
ydhI,+,1719049,1719285,,,,,,,,,
ydhJ,+,1719288,1720145,,,,,,,,,
ydhK,+,1720145,1722157,,,,,,,,,
sodC,-,1722158,1722679,,,,,,,,,
ydhF,-,1722760,1723656,,,,,,,,,
ydhL,-,1723705,1723944,,,,,,,,,
nemR,+,1724047,1724646,,,,,,,,,
nemA,+,1724683,1725780,,,,,,,,,
gloA,+,1725861,1726268,,,,,,,,,
rnt,+,1726371,1727018,,,,,,,,,
lhr,+,1727111,1731727,,,,,,,,,
grxD,-,1731778,1732125,,,,,,,,,
mepH,+,1732459,1733274,,,,,,,,,
sodB,+,1733402,1733983,,,,,,,,,
ydhP,-,1734145,1735314,,,,,,,,,
ynhF,-,1735480,1735569,,,,,,,,,
purR,+,1735868,1736893,,,,,,,,,
ydhB,-,1736890,1737822,,,,,,,,,
ydhC,+,1737935,1739146,,,,,,,,,
cfa,+,1739437,1740585,,,,,,,,,
ribC,-,1740625,1741266,,,,,,,,,
mdtK,+,1741481,1742854,,,,,,,,,
ydhQ,-,1742895,1744151,,,,,,,,,
valV,+,1744459,1744535,,,,,,,,,
valW,+,1744540,1744616,,,,,,,,,
ydhR,+,1744724,1745029,,,,,,,,,
ydhS,+,1745155,1746759,,,,,,,,,
ydhT,-,1746771,1747583,,,,,,,,,
ydhU,-,1747587,1748372,,,,,,,,,
ydhX,-,1748369,1749088,,,,,,,,,
ydhW,-,1749101,1749748,,,,,,,,,
ydhV,-,1749752,1751854,,,,,,,,,
ydhY,-,1751875,1752501,,,,,,,,,
ydhZ,-,1752956,1753165,,,,,,,,,
pykF,+,1753722,1755134,,,,,,,,,
lpp,+,1755445,1755681,,,,,,,,,
ldtE,-,1755745,1756749,,,,,,,,,
sufE,-,1756898,1757314,,,,,,,,,
sufS,-,1757327,1758547,,,,,,,,,
sufD,-,1758544,1759815,,,,,,,,,
sufC,-,1759790,1760536,,,,,,,,,
sufB,-,1760546,1762033,,,,,,,,,
sufA,-,1762042,1762410,,,,,,,,,
rydB,-,1762737,1762804,,,,,,,,,
ydiH,-,1762958,1763227,,,,,,,,,
menI,-,1763246,1763656,,,,,,,,,
ydiJ,-,1763653,1766709,,,,,,,,,
ydiK,+,1767098,1768210,,,,,,,,,
rprA,+,1768396,1768500,,,,,,,,,
ydiL,+,1768639,1768995,,,,,,,,,
ydiM,+,1769095,1770309,,,,,,,,,
ydiN,+,1770536,1771801,,,,,,,,,
ydiB,+,1771813,1772679,,,,,,,,,
aroD,+,1772710,1773468,,,,,,,,,
ydiF,+,1773611,1775206,,,,,,,,,
ydiO,+,1775220,1776371,,,,,,,,,
ydiP,-,1776414,1777325,,,,,,,,,
ydiQ,+,1777641,1778405,,,,,,,,,
ydiR,+,1778425,1779363,,,,,,,,,
ydiS,+,1779419,1780708,,,,,,,,,
ydiT,+,1780705,1780998,,,,,,,,,
fadK,+,1781001,1782701,,,,,,,,,
ppsA,-,1782758,1785136,,,,,,,,,
ppsR,+,1785469,1786302,,,,,,,,,
aroH,+,1786459,1787505,,,,,,,,,
ydiE,+,1787637,1787828,,,,,,,,,
ydiU,-,1787832,1789268,,,,,,,,,
ydiV,-,1789331,1790044,,,,,,,,,
nlpC,-,1790291,1790755,,,,,,,,,
btuD,-,1790833,1791582,,,,,,,,,
btuE,-,1791582,1792133,,,,,,,,,
btuC,-,1792196,1793176,,,,,,,,,
ihfA,-,1793277,1793576,,,,,,,,,
pheT,-,1793581,1795968,,,,,,,,,
pheS,-,1795983,1796966,,,,,,,,,
pheM,-,1797250,1797294,,,,,,,,,
rplT,-,1797417,1797773,,,,,,,,,
rpmI,-,1797826,1798023,,,,,,,,,
infC,-,1798120,1798662,,,,,,,,,
thrS,-,1798666,1800594,,,,,,,,,
yniD,+,1803189,1803296,,,,,,,,,
ydiY,-,1803349,1804107,,,,,,,,,
pfkB,+,1804394,1805323,,,,,,,,,
ydiZ,+,1805424,1805714,,,,,,,,,
yniA,+,1805820,1806680,,,,,,,,,
yniB,-,1806721,1807257,,,,,,,,,
yniC,+,1807404,1808072,,,,,,,,,
ydjM,+,1808235,1808825,,,,,,,,,
ydjN,+,1808958,1810349,,,,,,,,,
ydjO,-,1810353,1811168,,,,,,,,,
cedA,-,1811445,1811687,,,,,,,,,
katE,+,1811891,1814152,,,,,,,,,
chbG,-,1814410,1815159,,,,,,,,,
chbF,-,1815172,1816524,,,,,,,,,
chbR,-,1816629,1817471,,,,,,,,,
chbA,-,1817479,1817829,,,,,,,,,
chbC,-,1817880,1819238,,,,,,,,,
chbB,-,1819323,1819643,,,,,,,,,
osmE,-,1819942,1820280,,,,,,,,,
nadE,+,1820482,1821309,,,,,,,,,
cho,+,1821539,1822426,,,,,,,,,
ves,-,1822386,1822961,,,,,,,,,
spy,-,1823164,1823649,,,,,,,,,
astE,-,1823979,1824947,,,,,,,,,
astB,-,1824940,1826283,,,,,,,,,
astD,-,1826280,1827758,,,,,,,,,
astA,-,1827755,1828789,,,,,,,,,
astC,-,1828786,1830006,,,,,,,,,
xthA,+,1830452,1831258,,,,,,,,,
ydjX,+,1831425,1832135,,,,,,,,,
ydjY,+,1832140,1832817,,,,,,,,,
ydjZ,+,1832832,1833539,,,,,,,,,
ynjA,+,1833539,1834087,,,,,,,,,
ynjB,+,1834097,1835263,,,,,,,,,
ynjC,+,1835281,1836771,,,,,,,,,
ynjD,+,1836771,1837424,,,,,,,,,
ynjE,+,1837491,1838798,,,,,,,,,
ynjF,-,1838807,1839427,,,,,,,,,
nudG,+,1839514,1839921,,,,,,,,,
ynjH,-,1839887,1840159,,,,,,,,,
gdhA,+,1840395,1841738,,,,,,,,,
ynjI,-,1841855,1842895,,,,,,,,,
topB,-,1843023,1844984,,,,,,,,,
selD,-,1844989,1846032,,,,,,,,,
ydjA,-,1846149,1846700,,,,,,,,,
sppA,+,1846861,1848717,,,,,,,,,
ansA,+,1848884,1849900,,,,,,,,,
pncA,+,1849911,1850552,,,,,,,,,
ydjE,-,1850645,1852003,,,,,,,,,
ydjF,-,1852120,1852878,,,,,,,,,
ydjG,-,1853015,1853995,,,,,,,,,
ydjH,-,1854005,1854952,,,,,,,,,
ydjI,-,1854957,1855793,,,,,,,,,
ydjJ,-,1855814,1856857,,,,,,,,,
ydjK,-,1856874,1858253,,,,,,,,,
ydjL,-,1858280,1859356,,,,,,,,,
yeaC,-,1859726,1859998,,,,,,,,,
msrB,-,1860040,1860453,,,,,,,,,
gapA,+,1860795,1861790,,,,,,,,,
yeaD,+,1861874,1862758,,,,,,,,,
yeaE,-,1862806,1863660,,,,,,,,,
mipA,-,1863750,1864496,,,,,,,,,
yeaG,+,1864932,1866866,,,,,,,,,
yeaH,+,1866979,1868262,,,,,,,,,
yeaI,+,1868409,1869884,,,,,,,,,
yeaJ,+,1870065,1871555,,,,,,,,,
yeaK,+,1871598,1872101,,,,,,,,,
yoaI,-,1872102,1872206,,,,,,,,,
yeaL,+,1872376,1872822,,,,,,,,,
nimR,-,1872779,1873600,,,,,,,,,
nimT,+,1873697,1874878,,,,,,,,,
yeaO,+,1874933,1875280,,,,,,,,,
yoaF,-,1875302,1875556,,,,,,,,,
yeaP,+,1875739,1876764,,,,,,,,,
yoaK,+,1876797,1876895,,,,,,,,,
yoaJ,+,1876898,1876972,,,,,,,,,
yeaQ,-,1877031,1877279,,,,,,,,,
yoaG,-,1877427,1877609,,,,,,,,,
yeaR,-,1877613,1877972,,,,,,,,,
leuE,-,1878145,1878783,,,,,,,,,
dmlR,-,1878910,1879833,,,,,,,,,
dmlA,+,1879936,1881021,,,,,,,,,
yeaV,+,1881212,1882657,,,,,,,,,
yeaW,+,1882689,1883813,,,,,,,,,
yeaX,+,1883869,1884834,,,,,,,,,
rnd,-,1884888,1886015,,,,,,,,,
sroD,-,1886041,1886126,,,,,,,,,
fadD,-,1886085,1887770,,,,,,,,,
yeaY,-,1887975,1888556,,,,,,,,,
tsaB,-,1888596,1889291,,,,,,,,,
yoaA,-,1889349,1891259,,,,,,,,,
yoaB,+,1891391,1891735,,,,,,,,,
yoaC,+,1892097,1892456,,,,,,,,,
yoaH,-,1892576,1892755,,,,,,,,,
pabB,+,1892829,1894190,,,,,,,,,
nudL,+,1894194,1894772,,,,,,,,,
sdaA,+,1894956,1896320,,,,,,,,,
yoaD,+,1896451,1898049,,,,,,,,,
yoaE,-,1898053,1899609,,,,,,,,,
manX,+,1900072,1901043,,,,,,,,,
manY,+,1901106,1901906,,,,,,,,,
manZ,+,1901919,1902770,,,,,,,,,
yobD,+,1902825,1903283,,,,,,,,,
mntP,+,1903712,1904278,,,,,,,,,
rlmA,-,1904275,1905084,,,,,,,,,
cspC,-,1905250,1905459,,,,,,,,,
yobF,-,1905472,1905615,,,,,,,,,
yebO,-,1906285,1906572,,,,,,,,,
mgrB,-,1906647,1906790,,,,,,,,,
yobH,+,1906949,1907188,,,,,,,,,
kdgR,-,1907332,1908123,,,,,,,,,
yebQ,+,1908300,1909673,,,,,,,,,
htpX,-,1909719,1910600,,,,,,,,,
prc,-,1910792,1912840,,,,,,,,,
proQ,-,1912860,1913558,,,,,,,,,
msrC,-,1913655,1914206,,,,,,,,,
yebS,+,1914282,1915565,,,,,,,,,
yebT,+,1915534,1918167,,,,,,,,,
